# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 20000, i.e. number of multipoles equal to 19999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  135       5.088905193597e-10       1.475785951213e-13      -5.651546155394e-12       8.161480957479e-16       4.592728732971e-12       7.474071023776e-13      -4.891665159852e-15 
  136       5.134115744088e-10       1.478817809955e-13      -5.697927679324e-12       8.289533854061e-16       4.498958462246e-12       7.357662959139e-13      -4.829464446584e-15 
  137       5.179267864523e-10       1.481204203679e-13      -5.741915899383e-12       8.418836269173e-16       4.407790680917e-12       7.244081826517e-13      -4.767980675298e-15 
  138       5.224348995294e-10       1.482943962770e-13      -5.783450565163e-12       8.549397516952e-16       4.319141855039e-12       7.133188456554e-13      -4.706995845418e-15 
  139       5.269345888688e-10       1.484036681889e-13      -5.822472268648e-12       8.681227031757e-16       4.232913563784e-12       7.024823299072e-13      -4.646273940045e-15 
  140       5.314244593370e-10       1.484482736593e-13      -5.858922481168e-12       8.814334368615e-16       4.148992153362e-12       6.918805957281e-13      -4.585560554605e-15 
  141       5.359030438872e-10       1.484283299965e-13      -5.892743590363e-12       8.948729203662e-16       4.067248390945e-12       6.814934721968e-13      -4.524582525496e-15 
  142       5.403688020077e-10       1.483440359241e-13      -5.923878937148e-12       9.084421334591e-16       3.987537118587e-12       6.712986105702e-13      -4.463047558735e-15 
  143       5.448201181705e-10       1.481956732435e-13      -5.952272852668e-12       9.221420681098e-16       3.909696907150e-12       6.612714377029e-13      -4.400643858607e-15 
  144       5.492554321983e-10       1.479836199862e-13      -5.977871163746e-12       9.359736404323e-16       3.833583940899e-12       6.513906029307e-13      -4.337112996273e-15 
  145       5.536736481252e-10       1.477083878230e-13      -6.000622687326e-12       9.499374166406e-16       3.759178166872e-12       6.416550222647e-13      -4.272477396094e-15 
  146       5.580737628827e-10       1.473705915207e-13      -6.020477954312e-12       9.640338600346e-16       3.686487001256e-12       6.320684338023e-13      -4.206834674893e-15 
  147       5.624547372146e-10       1.469709394971e-13      -6.037388793611e-12       9.782634162172e-16       3.615511890382e-12       6.226340402727e-13      -4.140286464960e-15 
  148       5.668154948834e-10       1.465102355495e-13      -6.051308371795e-12       9.926265126321e-16       3.546248161371e-12       6.133544940287e-13      -4.072938463617e-15 
  149       5.711549218777e-10       1.459893805837e-13      -6.062191232752e-12       1.007123558102e-15       3.478684872790e-12       6.042318820380e-13      -4.004900482782e-15 
  150       5.754718656185e-10       1.454093743424e-13      -6.069993337338e-12       1.021754942367e-15       3.412804665296e-12       5.952677108747e-13      -3.936286498541e-15 
  151       5.797651341660e-10       1.447713171342e-13      -6.074672103032e-12       1.036521035623e-15       3.348583612294e-12       5.864628917108e-13      -3.867214700709e-15 
  152       5.840334954263e-10       1.440764115620e-13      -6.076186443593e-12       1.051422188059e-15       3.285991070582e-12       5.778177253078e-13      -3.797807542402e-15 
  153       5.882756763585e-10       1.433259642521e-13      -6.074496808708e-12       1.066458729397e-15       3.224989531004e-12       5.693318870080e-13      -3.728191789600e-15 
  154       5.924903621807e-10       1.425213875823e-13      -6.069565223650e-12       1.081630968427e-15       3.165534469099e-12       5.610044117259e-13      -3.658498570713e-15 
  155       5.966761955777e-10       1.416642014112e-13      -6.061355328931e-12       1.096939192549e-15       3.107574195755e-12       5.528336789401e-13      -3.588863426153e-15 
  156       6.008317759068e-10       1.407560348068e-13      -6.049832419954e-12       1.112383667310e-15       3.051049707858e-12       5.448173976844e-13      -3.519426357895e-15 
  157       6.049556584054e-10       1.397986277749e-13      -6.034963486670e-12       1.127964635940e-15       2.995894538938e-12       5.369525915394e-13      -3.450331879046e-15 
  158       6.090463533970e-10       1.387938329880e-13      -6.016717253229e-12       1.143682318892e-15       2.942034609830e-12       5.292355836240e-13      -3.381729063412e-15 
  159       6.131023254985e-10       1.377436175140e-13      -5.995064217635e-12       1.159536913382e-15       2.889388079313e-12       5.216619815870e-13      -3.313771595064e-15 
  160       6.171219928265e-10       1.366500645450e-13      -5.969976691400e-12       1.175528592924e-15       2.837865194770e-12       5.142266625983e-13      -3.246617817907e-15 
