# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 20500, i.e. number of multipoles equal to 20499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  150       5.753638848457e-10       1.445528807242e-13      -6.088595615276e-12       0.000000000000e+00       3.412804665296e-12       5.952677108747e-13      -3.936286498541e-15 
  151       5.796692078161e-10       1.438944190065e-13      -6.093695039711e-12       0.000000000000e+00       3.348583612294e-12       5.864628917108e-13      -3.867214700709e-15 
  152       5.839499421710e-10       1.431784482947e-13      -6.095628150146e-12       0.000000000000e+00       3.285991070582e-12       5.778177253078e-13      -3.797807542402e-15 
  153       5.882048122123e-10       1.424062601739e-13      -6.094354938551e-12       0.000000000000e+00       3.224989531004e-12       5.693318870080e-13      -3.728191789600e-15 
  154       5.924325002234e-10       1.415792518544e-13      -6.089836958736e-12       0.000000000000e+00       3.165534469099e-12       5.610044117259e-13      -3.658498570713e-15 
  155       5.966316456714e-10       1.406989279017e-13      -6.082037365847e-12       0.000000000000e+00       3.107574195755e-12       5.528336789401e-13      -3.588863426153e-15 
  156       6.008008444099e-10       1.397669019654e-13      -6.070920955863e-12       0.000000000000e+00       3.051049707858e-12       5.448173976844e-13      -3.519426357895e-15 
  157       6.049386478809e-10       1.387848985095e-13      -6.056454205098e-12       0.000000000000e+00       2.995894538938e-12       5.369525915394e-13      -3.450331879046e-15 
  158       6.090435623182e-10       1.377547545413e-13      -6.038605309698e-12       0.000000000000e+00       2.942034609830e-12       5.292355836240e-13      -3.381729063412e-15 
  159       6.131140479489e-10       1.366784213415e-13      -6.017344225139e-12       0.000000000000e+00       2.889388079313e-12       5.216619815870e-13      -3.313771595064e-15 
  160       6.171485181966e-10       1.355579661934e-13      -5.992642705726e-12       0.000000000000e+00       2.837865194770e-12       5.142266625983e-13      -3.246617817907e-15 
  161       6.211454499826e-10       1.343955268286e-13      -5.964474214870e-12       0.000000000000e+00       2.787386704452e-12       5.069249733517e-13      -3.180402098009e-15 
  162       6.251037272680e-10       1.331931666060e-13      -5.932813564083e-12       0.000000000000e+00       2.737941237616e-12       4.997564808355e-13      -3.115145960570e-15 
  163       6.290223265092e-10       1.319530097715e-13      -5.897637317395e-12       0.000000000000e+00       2.689532736861e-12       4.927215261132e-13      -3.050839152706e-15 
  164       6.329002080073e-10       1.306772890904e-13      -5.858923956304e-12       0.000000000000e+00       2.642162289446e-12       4.858200298008e-13      -2.987467542137e-15 
  165       6.367363156211e-10       1.293683473595e-13      -5.816653918675e-12       0.000000000000e+00       2.595828063341e-12       4.790514826486e-13      -2.925013034763e-15 
  166       6.405295764818e-10       1.280286389187e-13      -5.770809637648e-12       0.000000000000e+00       2.550525243280e-12       4.724149361228e-13      -2.863453492251e-15 
  167       6.442789007053e-10       1.266607311634e-13      -5.721375580538e-12       0.000000000000e+00       2.506245966807e-12       4.659089929870e-13      -2.802762649608e-15 
  168       6.479831811071e-10       1.252673060563e-13      -5.668338287745e-12       0.000000000000e+00       2.462979260327e-12       4.595317978840e-13      -2.742910032768e-15 
  169       6.516412929148e-10       1.238511616394e-13      -5.611686411650e-12       0.000000000000e+00       2.420710975160e-12       4.532810279170e-13      -2.683860876168e-15 
  170       6.552520934828e-10       1.224152135463e-13      -5.551410755526e-12       0.000000000000e+00       2.379423723589e-12       4.471538832317e-13      -2.625576040331e-15 
  171       6.588144220049e-10       1.209624965137e-13      -5.487504312437e-12       0.000000000000e+00       2.339096814909e-12       4.411470775974e-13      -2.568011929442e-15 
  172       6.623270992286e-10       1.194961658938e-13      -5.419962304148e-12       0.000000000000e+00       2.299706191478e-12       4.352568289892e-13      -2.511120408934e-15 
  173       6.657889271687e-10       1.180194991665e-13      -5.348782220020e-12       0.000000000000e+00       2.261224364769e-12       4.294788501690e-13      -2.454848723066e-15 
  174       6.691986888205e-10       1.165358974507e-13      -5.273963855924e-12       0.000000000000e+00       2.223620351420e-12       4.238083392672e-13      -2.399139412502e-15 
