# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       8.724379344697e+02       5.390086827668e-04       3.302620758586e+02       3.643384112793e+00       1.384873626041e+04       1.585543255436e+01       1.209601159430e+07       1.666403059320e+02       1.601427461719e+00       1.645916194590e+00       8.919086405818e+00       3.426601706359e-08       1.107817696957e+00       1.327424779335e+01       1.980817897194e+04       1.299364593568e+00 
       8.663579720968e+02       5.452970477117e-04       3.319402040361e+02       3.602846201057e+00       1.384705813223e+04       1.596464041110e+01       1.201035626108e+07       1.673678254216e+02       1.557301027338e+00       1.611783450626e+00       8.734123833797e+00       3.426601706359e-08       1.077292402444e+00       1.298050074847e+01       1.998869012544e+04       1.298002942185e+00 
       8.603203202053e+02       5.516561670753e-04       3.336254010903e+02       3.562773314914e+00       1.384537293517e+04       1.607459223982e+01       1.192530104989e+07       1.680972952189e+02       1.514390388633e+00       1.578358480763e+00       8.552996632245e+00       3.426601706359e-08       1.047608157555e+00       1.269335369346e+01       2.017065502803e+04       1.296644876540e+00 
       8.543246844879e+02       5.580868117224e-04       3.353176901327e+02       3.523159912000e+00       1.384368064613e+04       1.618529302053e+01       1.184084178080e+07       1.688287132772e+02       1.472662049973e+00       1.545626610267e+00       8.375625279961e+00       3.426601706359e-08       1.018741791056e+00       1.241265576552e+01       2.035408395606e+04       1.295290409547e+00 
       8.483707726829e+02       5.645897607294e-04       3.370170943440e+02       3.484000518897e+00       1.384198124192e+04       1.629674776564e+01       1.175697430291e+07       1.695620775134e+02       1.432083438460e+00       1.513573468623e+00       8.201931904297e+00       3.426601706359e-08       9.906707700278e-01       1.213825961567e+01       2.053898725329e+04       1.293939553908e+00 
       8.424582945605e+02       5.711658014708e-04       3.387236369741e+02       3.445289730239e+00       1.384027469929e+04       1.640896152014e+01       1.167369449411e+07       1.702973858086e+02       1.392622878514e+00       1.482184983234e+00       8.031840246986e+00       3.426601706359e-08       9.633731822914e-01       1.187002132529e+01       2.072537533130e+04       1.292592322111e+00 
       8.365869619086e+02       5.778157297071e-04       3.404373413427e+02       3.407022207830e+00       1.383856099492e+04       1.652193936184e+01       1.159099826092e+07       1.710346360082e+02       1.354249567158e+00       1.451447373242e+00       7.865275630678e+00       3.426601706359e-08       9.368277193050e-01       1.160780032465e+01       2.091325867004e+04       1.291248726435e+00 
       8.307564885183e+02       5.845403496728e-04       3.421582308397e+02       3.369192679774e+00       1.383684010542e+04       1.663568640153e+01       1.150888153828e+07       1.717738259216e+02       1.316933549981e+00       1.421347143483e+00       7.702164926172e+00       3.426601706359e-08       9.110136595385e-01       1.135145931344e+01       2.110264781826e+04       1.289908778950e+00 
       8.249665901706e+02       5.913404741665e-04       3.438863289252e+02       3.331795939613e+00       1.383511200734e+04       1.675020778320e+01       1.142734028933e+07       1.725149533228e+02       1.280645697762e+00       1.391871078564e+00       7.542436520328e+00       3.426601706359e-08       8.859108523031e-01       1.110086418322e+01       2.129355339406e+04       1.288572491513e+00 
       8.192169846224e+02       5.982169246404e-04       3.456216591303e+02       3.294826845486e+00       1.383337667713e+04       1.686550868427e+01       1.134637050526e+07       1.732580159505e+02       1.245357683741e+00       1.363006237065e+00       7.386020284636e+00       3.426601706359e-08       8.614997020277e-01       1.085588394174e+01       2.148598608530e+04       1.287239875773e+00 
       8.135073915923e+02       6.051705312925e-04       3.473642450571e+02       3.258280319287e+00       1.383163409121e+04       1.698159431576e+01       1.126596820509e+07       1.740030115079e+02       1.211041961515e+00       1.334739945858e+00       7.232847544447e+00       3.426601706359e-08       8.377611529678e-01       1.061639063905e+01       2.167995665018e+04       1.285910943168e+00 
       8.078375327477e+02       6.122021331581e-04       3.491141103794e+02       3.222151345844e+00       1.382988422589e+04       1.709846992251e+01       1.118612943545e+07       1.747499376631e+02       1.177671743542e+00       1.307059794548e+00       7.082851048833e+00       3.426601706359e-08       8.146766743352e-01       1.038225929552e+01       2.187547591769e+04       1.284585704929e+00 
       8.022071316909e+02       6.193125782036e-04       3.508712788428e+02       3.186434972104e+00       1.382812705742e+04       1.721614078340e+01       1.110685027045e+07       1.754987920494e+02       1.145220980238e+00       1.279953630025e+00       6.935964941080e+00       3.426601706359e-08       7.922282458379e-01       1.015336783145e+01       2.207255478813e+04       1.283264172078e+00 
       7.966159139455e+02       6.265027234206e-04       3.526357742652e+02       3.151126306331e+00       1.382636256200e+04       1.733461221154e+01       1.102812681143e+07       1.762495722650e+02       1.113664339649e+00       1.253409551132e+00       6.792124729784e+00       3.426601706359e-08       7.703983436183e-01       9.929596998450e+00       2.227120423363e+04       1.281946355428e+00 
       7.910636069434e+02       6.337734349208e-04       3.544076205369e+02       3.116220517313e+00       1.382459071573e+04       1.745388955450e+01       1.094995518682e+07       1.770022758736e+02       1.082977187683e+00       1.227415903444e+00       6.651267260554e+00       3.426601706359e-08       7.491699265780e-01       9.710830312524e+00       2.247143529864e+04       1.280632265586e+00 
       7.855499400113e+02       6.411255880328e-04       3.561868416215e+02       3.081712833583e+00       1.382281149464e+04       1.757397819450e+01       1.087233155190e+07       1.777569004043e+02       1.053135568887e+00       1.201961274148e+00       6.513330688291e+00       3.426601706359e-08       7.285264230798e-01       9.496953988672e+00       2.267325910045e+04       1.279321912951e+00 
       7.800746443576e+02       6.485600673988e-04       3.579734615557e+02       3.047598542645e+00       1.382102487471e+04       1.769488354865e+01       1.079525208867e+07       1.785134433518e+02       1.024116187753e+00       1.177034487043e+00       6.378254450056e+00       3.426601706359e-08       7.084517180160e-01       9.287856877134e+00       2.287668682973e+04       1.278015307719e+00 
       7.746374530594e+02       6.560777670735e-04       3.597675044501e+02       3.013872990216e+00       1.381923083181e+04       1.781661106913e+01       1.071871300563e+07       1.792719021767e+02       9.958963905387e-01       1.152624597626e+00       6.245979238487e+00       3.426601706359e-08       6.889301402327e-01       9.083430401151e+00       2.308172975104e+04       1.276712459875e+00 
       7.692381010494e+02       6.636795906226e-04       3.615689944894e+02       2.980531579472e+00       1.381742934178e+04       1.793916624346e+01       1.064271053759e+07       1.800322743054e+02       9.684541475905e-01       1.128720888297e+00       6.116446975774e+00       3.426601706359e-08       6.699464503005e-01       8.883568496229e+00       2.328839920335e+04       1.275413379202e+00 
       7.638763251031e+02       6.713664512240e-04       3.633779559325e+02       2.947569770313e+00       1.381562038033e+04       1.806255459465e+01       1.056724094553e+07       1.807945571304e+02       9.417680361503e-01       1.105312863653e+00       5.989600788172e+00       3.426601706359e-08       6.514858286219e-01       8.688167550862e+00       2.349670660059e+04       1.274118075279e+00 
       7.585518638260e+02       6.791392717684e-04       3.651944131135e+02       2.914983078628e+00       1.381380392315e+04       1.818678168146e+01       1.049230051636e+07       1.815587480106e+02       9.158172236388e-01       1.082390245878e+00       5.865384981040e+00       3.426601706359e-08       6.335338638668e-01       8.497126348689e+00       2.370666343219e+04       1.272826557481e+00 
       7.532644576406e+02       6.869989849628e-04       3.670183904415e+02       2.882767075577e+00       1.381197994582e+04       1.831185309862e+01       1.041788556278e+07       1.823248442712e+02       8.905814513979e-01       1.059942970239e+00       5.743745014403e+00       3.426601706359e-08       6.160765417257e-01       8.310346012032e+00       2.391828126360e+04       1.271538834976e+00 
       7.480138487745e+02       6.949465334329e-04       3.688499124011e+02       2.850917386877e+00       1.381014842386e+04       1.843777447701e+01       1.034399242311e+07       1.830928432043e+02       8.660410188812e-01       1.037961180666e+00       5.624627479013e+00       3.426601706359e-08       5.991002339735e-01       8.127729946800e+00       2.413157173683e+04       1.270254916735e+00 
       7.427997812469e+02       7.029828698287e-04       3.706890035532e+02       2.819429692104e+00       1.380830933271e+04       1.856455148395e+01       1.027061746106e+07       1.838627420683e+02       8.421767682796e-01       1.016435225425e+00       5.507980072913e+00       3.426601706359e-08       5.825916878339e-01       7.949183788718e+00       2.434654657103e+04       1.268974811523e+00 
       7.376220008570e+02       7.111089569299e-04       3.725356885346e+02       2.788299723997e+00       1.380646264773e+04       1.869218982336e+01       1.019775706562e+07       1.846345380889e+02       8.189700695708e-01       9.953556528867e-01       5.393751578481e+00       3.426601706359e-08       5.665380156370e-01       7.774615350841e+00       2.456321756304e+04       1.267698527906e+00 
       7.324802551711e+02       7.193257677526e-04       3.743899920593e+02       2.757523267778e+00       1.380460834421e+04       1.882069523601e+01       1.012540765084e+07       1.854082284589e+02       7.964028059806e-01       9.747132073729e-01       5.281891839953e+00       3.426601706359e-08       5.509266847620e-01       7.603934572334e+00       2.478159658791e+04       1.266426074247e+00 
